Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2022-11-15 To Monday 2022-11-21;12600; to 13200;1,000000;2;From_12600 To_13200
Tuesday 2022-11-22 To Monday 2022-11-28;13200; to 13800;5,000000;9;From_13200 To_13800
Tuesday 2022-11-15 To Monday 2022-11-21;13200; to 13800;12,000000;20;From_13200 To_13800
Tuesday 2022-11-15 To Monday 2022-11-21;13800; to 14400;17,000000;28;From_13800 To_14400
Tuesday 2022-11-22 To Monday 2022-11-28;13800; to 14400;32,000000;53;From_13800 To_14400
Tuesday 2022-11-15 To Monday 2022-11-21;14400; to 15000;15,000000;25;From_14400 To_15000
Tuesday 2022-11-22 To Monday 2022-11-28;14400; to 15000;23,000000;39;From_14400 To_15000
Tuesday 2022-11-15 To Monday 2022-11-21;15000; to 15600;16,000000;27;From_15000 To_15600
Tuesday 2022-11-22 To Monday 2022-11-28;15000; to 15600;18,000000;31;From_15000 To_15600
Tuesday 2022-11-15 To Monday 2022-11-21;15600; to 16200;8,000000;14;From_15600 To_16200
Tuesday 2022-11-22 To Monday 2022-11-28;15600; to 16200;17,000000;28;From_15600 To_16200
Tuesday 2022-11-22 To Monday 2022-11-28;16200; to 16800;5,000000;8;From_16200 To_16800
Tuesday 2022-11-15 To Monday 2022-11-21;16200; to 16800;14,000000;24;From_16200 To_16800
Tuesday 2022-11-15 To Monday 2022-11-21;16800; to 17400;14,000000;23;From_16800 To_17400
Tuesday 2022-11-15 To Monday 2022-11-21;17400; to 18000;3,000000;5;From_17400 To_18000
