Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2023-01-23 To Sunday 2023-01-29;14000; to 14500;2,000000;4;From_14000 To_14500
Monday 2023-01-16 To Sunday 2023-01-22;14000; to 14500;2,000000;3;From_14000 To_14500
Monday 2023-01-16 To Sunday 2023-01-22;14500; to 15000;8,000000;13;From_14500 To_15000
Monday 2023-01-23 To Sunday 2023-01-29;14500; to 15000;18,000000;31;From_14500 To_15000
Monday 2023-01-16 To Sunday 2023-01-22;15000; to 15500;22,000000;37;From_15000 To_15500
Monday 2023-01-23 To Sunday 2023-01-29;15000; to 15500;23,000000;39;From_15000 To_15500
Monday 2023-01-16 To Sunday 2023-01-22;15500; to 16000;20,000000;34;From_15500 To_16000
Monday 2023-01-23 To Sunday 2023-01-29;15500; to 16000;27,000000;45;From_15500 To_16000
Monday 2023-01-23 To Sunday 2023-01-29;16000; to 16500;12,000000;20;From_16000 To_16500
Monday 2023-01-16 To Sunday 2023-01-22;16000; to 16500;23,000000;38;From_16000 To_16500
Monday 2023-01-23 To Sunday 2023-01-29;16500; to 17000;3,000000;5;From_16500 To_17000
Monday 2023-01-16 To Sunday 2023-01-22;16500; to 17000;17,000000;28;From_16500 To_17000
Monday 2023-01-16 To Sunday 2023-01-22;17000; to 17500;7,000000;12;From_17000 To_17500
Monday 2023-01-16 To Sunday 2023-01-22;17500; to 18000;2,000000;3;From_17500 To_18000
