Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Sunday 2023-01-15 To Saturday 2023-01-21;13600; to 14200;5,000000;8;From_13600 To_14200
Sunday 2023-01-15 To Saturday 2023-01-21;14200; to 14800;15,000000;26;From_14200 To_14800
Sunday 2023-01-15 To Saturday 2023-01-21;14800; to 15400;8,000000;14;From_14800 To_15400
Sunday 2023-01-08 To Saturday 2023-01-14;15400; to 16000;7,000000;11;From_15400 To_16000
Sunday 2023-01-15 To Saturday 2023-01-21;15400; to 16000;10,000000;16;From_15400 To_16000
Sunday 2023-01-15 To Saturday 2023-01-21;16000; to 16600;32,000000;54;From_16000 To_16600
Sunday 2023-01-08 To Saturday 2023-01-14;16000; to 16600;34,000000;57;From_16000 To_16600
Sunday 2023-01-15 To Saturday 2023-01-21;16600; to 17200;19,000000;32;From_16600 To_17200
Sunday 2023-01-08 To Saturday 2023-01-14;16600; to 17200;35,000000;59;From_16600 To_17200
Sunday 2023-01-15 To Saturday 2023-01-21;17200; to 17800;10,000000;17;From_17200 To_17800
Sunday 2023-01-08 To Saturday 2023-01-14;17200; to 17800;18,000000;31;From_17200 To_17800
Sunday 2023-01-15 To Saturday 2023-01-21;17800; to 18400;1,000000;1;From_17800 To_18400
Sunday 2023-01-08 To Saturday 2023-01-14;17800; to 18400;6,000000;10;From_17800 To_18400
