Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2022-12-17 To Friday 2022-12-23;12600; to 13200;1,000000;2;From_12600 To_13200
Saturday 2022-12-24 To Friday 2022-12-30;13200; to 13800;1,000000;2;From_13200 To_13800
Saturday 2022-12-17 To Friday 2022-12-23;13200; to 13800;5,000000;9;From_13200 To_13800
Saturday 2022-12-24 To Friday 2022-12-30;13800; to 14400;8,000000;13;From_13800 To_14400
Saturday 2022-12-17 To Friday 2022-12-23;13800; to 14400;9,000000;15;From_13800 To_14400
Saturday 2022-12-24 To Friday 2022-12-30;14400; to 15000;7,000000;11;From_14400 To_15000
Saturday 2022-12-17 To Friday 2022-12-23;14400; to 15000;13,000000;21;From_14400 To_15000
Saturday 2022-12-17 To Friday 2022-12-23;15000; to 15600;18,000000;31;From_15000 To_15600
Saturday 2022-12-24 To Friday 2022-12-30;15000; to 15600;20,000000;34;From_15000 To_15600
Saturday 2022-12-17 To Friday 2022-12-23;15600; to 16200;20,000000;33;From_15600 To_16200
Saturday 2022-12-24 To Friday 2022-12-30;15600; to 16200;34,000000;57;From_15600 To_16200
Saturday 2022-12-17 To Friday 2022-12-23;16200; to 16800;19,000000;32;From_16200 To_16800
Saturday 2022-12-24 To Friday 2022-12-30;16200; to 16800;23,000000;39;From_16200 To_16800
Saturday 2022-12-24 To Friday 2022-12-30;16800; to 17400;7,000000;12;From_16800 To_17400
Saturday 2022-12-17 To Friday 2022-12-23;16800; to 17400;14,000000;23;From_16800 To_17400
Saturday 2022-12-17 To Friday 2022-12-23;17400; to 18000;1,000000;2;From_17400 To_18000
