Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2022-12-10 To Friday 2022-12-16;13700; to 14400;3,000000;5;From_13700 To_14400
Saturday 2022-12-10 To Friday 2022-12-16;14400; to 15100;15,000000;26;From_14400 To_15100
Saturday 2022-12-03 To Friday 2022-12-09;15100; to 15800;4,000000;6;From_15100 To_15800
Saturday 2022-12-10 To Friday 2022-12-16;15100; to 15800;42,000000;71;From_15100 To_15800
Saturday 2022-12-03 To Friday 2022-12-09;15800; to 16500;14,000000;24;From_15800 To_16500
Saturday 2022-12-10 To Friday 2022-12-16;15800; to 16500;37,000000;62;From_15800 To_16500
Saturday 2022-12-10 To Friday 2022-12-16;16500; to 17200;2,000000;4;From_16500 To_17200
Saturday 2022-12-03 To Friday 2022-12-09;16500; to 17200;21,000000;36;From_16500 To_17200
Saturday 2022-12-03 To Friday 2022-12-09;17200; to 17900;24,000000;40;From_17200 To_17900
Saturday 2022-12-03 To Friday 2022-12-09;17900; to 18600;21,000000;36;From_17900 To_18600
Saturday 2022-12-03 To Friday 2022-12-09;18600; to 19300;10,000000;17;From_18600 To_19300
Saturday 2022-12-03 To Friday 2022-12-09;19300; to 20000;5,000000;9;From_19300 To_20000
