Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Thursday 2022-12-29 To Wednesday 2023-01-04;14500; to 15000;3,000000;5;From_14500 To_15000
Thursday 2023-01-05 To Wednesday 2023-01-11;15000; to 15500;7,000000;11;From_15000 To_15500
Thursday 2022-12-29 To Wednesday 2023-01-04;15000; to 15500;15,000000;25;From_15000 To_15500
Thursday 2023-01-05 To Wednesday 2023-01-11;15500; to 16000;7,000000;11;From_15500 To_16000
Thursday 2022-12-29 To Wednesday 2023-01-04;15500; to 16000;10,000000;16;From_15500 To_16000
Thursday 2023-01-05 To Wednesday 2023-01-11;16000; to 16500;11,000000;18;From_16000 To_16500
Thursday 2022-12-29 To Wednesday 2023-01-04;16000; to 16500;22,000000;37;From_16000 To_16500
Thursday 2023-01-05 To Wednesday 2023-01-11;16500; to 17000;18,000000;30;From_16500 To_17000
Thursday 2022-12-29 To Wednesday 2023-01-04;16500; to 17000;29,000000;48;From_16500 To_17000
Thursday 2022-12-29 To Wednesday 2023-01-04;17000; to 17500;17,000000;28;From_17000 To_17500
Thursday 2023-01-05 To Wednesday 2023-01-11;17000; to 17500;27,000000;45;From_17000 To_17500
Thursday 2022-12-29 To Wednesday 2023-01-04;17500; to 18000;5,000000;9;From_17500 To_18000
Thursday 2023-01-05 To Wednesday 2023-01-11;17500; to 18000;21,000000;35;From_17500 To_18000
Thursday 2023-01-05 To Wednesday 2023-01-11;18000; to 18500;11,000000;18;From_18000 To_18500
