Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Wednesday 2023-02-08 To Tuesday 2023-02-14;14800; to 15600;21,000000;35;From_14800 To_15600
Wednesday 2023-02-15 To Tuesday 2023-02-21;15600; to 16400;4,000000;7;From_15600 To_16400
Wednesday 2023-02-08 To Tuesday 2023-02-14;15600; to 16400;42,000000;71;From_15600 To_16400
Wednesday 2023-02-15 To Tuesday 2023-02-21;16400; to 17200;20,000000;34;From_16400 To_17200
Wednesday 2023-02-08 To Tuesday 2023-02-14;16400; to 17200;25,000000;42;From_16400 To_17200
Wednesday 2023-02-08 To Tuesday 2023-02-14;17200; to 18000;10,000000;16;From_17200 To_18000
Wednesday 2023-02-15 To Tuesday 2023-02-21;17200; to 18000;15,000000;26;From_17200 To_18000
Wednesday 2023-02-08 To Tuesday 2023-02-14;18000; to 18800;2,000000;4;From_18000 To_18800
Wednesday 2023-02-15 To Tuesday 2023-02-21;18000; to 18800;4,000000;6;From_18000 To_18800
Wednesday 2023-02-15 To Tuesday 2023-02-21;18800; to 19600;13,000000;22;From_18800 To_19600
Wednesday 2023-02-15 To Tuesday 2023-02-21;19600; to 20400;14,000000;24;From_19600 To_20400
Wednesday 2023-02-15 To Tuesday 2023-02-21;20400; to 21200;13,000000;22;From_20400 To_21200
Wednesday 2023-02-15 To Tuesday 2023-02-21;21200; to 22000;2,000000;3;From_21200 To_22000
