Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Sunday 2022-12-18 To Saturday 2022-12-24;12600; to 13200;1,000000;2;From_12600 To_13200
Sunday 2022-12-18 To Saturday 2022-12-24;13200; to 13800;5,000000;9;From_13200 To_13800
Sunday 2022-12-11 To Saturday 2022-12-17;13800; to 14400;3,000000;5;From_13800 To_14400
Sunday 2022-12-18 To Saturday 2022-12-24;13800; to 14400;10,000000;17;From_13800 To_14400
Sunday 2022-12-11 To Saturday 2022-12-17;14400; to 15000;9,000000;15;From_14400 To_15000
Sunday 2022-12-18 To Saturday 2022-12-24;14400; to 15000;26,000000;44;From_14400 To_15000
Sunday 2022-12-18 To Saturday 2022-12-24;15000; to 15600;23,000000;38;From_15000 To_15600
Sunday 2022-12-11 To Saturday 2022-12-17;15000; to 15600;24,000000;40;From_15000 To_15600
Sunday 2022-12-18 To Saturday 2022-12-24;15600; to 16200;14,000000;23;From_15600 To_16200
Sunday 2022-12-11 To Saturday 2022-12-17;15600; to 16200;35,000000;59;From_15600 To_16200
Sunday 2022-12-18 To Saturday 2022-12-24;16200; to 16800;13,000000;21;From_16200 To_16800
Sunday 2022-12-11 To Saturday 2022-12-17;16200; to 16800;19,000000;32;From_16200 To_16800
Sunday 2022-12-18 To Saturday 2022-12-24;16800; to 17400;7,000000;12;From_16800 To_17400
Sunday 2022-12-11 To Saturday 2022-12-17;16800; to 17400;9,000000;15;From_16800 To_17400
Sunday 2022-12-11 To Saturday 2022-12-17;17400; to 18000;1,000000;2;From_17400 To_18000
Sunday 2022-12-18 To Saturday 2022-12-24;17400; to 18000;1,000000;2;From_17400 To_18000
