Cal Year;Indicator;CSP;PV;Wind(Eskom+IPP);Total RE
2023-24;Total Energy;8070;26245;44806;80428
2022-23;Total Energy;1514403;4919824;10378506;17067498
 All Time Maximum;Annual Energy;1670540;5094406;10378506;17067498
