Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Wednesday 2023-01-11 To Tuesday 2023-01-17;15200; to 15600;1,000000;2;From_15200 To_15600
Wednesday 2023-01-04 To Tuesday 2023-01-10;15200; to 15600;1,000000;1;From_15200 To_15600
Wednesday 2023-01-04 To Tuesday 2023-01-10;15600; to 16000;4,000000;7;From_15600 To_16000
Wednesday 2023-01-11 To Tuesday 2023-01-17;15600; to 16000;8,000000;14;From_15600 To_16000
Wednesday 2023-01-04 To Tuesday 2023-01-10;16000; to 16400;9,000000;15;From_16000 To_16400
Wednesday 2023-01-11 To Tuesday 2023-01-17;16000; to 16400;14,000000;23;From_16000 To_16400
Wednesday 2023-01-04 To Tuesday 2023-01-10;16400; to 16800;15,000000;26;From_16400 To_16800
Wednesday 2023-01-11 To Tuesday 2023-01-17;16400; to 16800;30,000000;50;From_16400 To_16800
Wednesday 2023-01-11 To Tuesday 2023-01-17;16800; to 17200;21,000000;35;From_16800 To_17200
Wednesday 2023-01-04 To Tuesday 2023-01-10;16800; to 17200;23,000000;38;From_16800 To_17200
Wednesday 2023-01-11 To Tuesday 2023-01-17;17200; to 17600;15,000000;26;From_17200 To_17600
Wednesday 2023-01-04 To Tuesday 2023-01-10;17200; to 17600;18,000000;30;From_17200 To_17600
Wednesday 2023-01-11 To Tuesday 2023-01-17;17600; to 18000;9,000000;15;From_17600 To_18000
Wednesday 2023-01-04 To Tuesday 2023-01-10;17600; to 18000;18,000000;31;From_17600 To_18000
Wednesday 2023-01-11 To Tuesday 2023-01-17;18000; to 18400;2,000000;3;From_18000 To_18400
Wednesday 2023-01-04 To Tuesday 2023-01-10;18000; to 18400;11,000000;18;From_18000 To_18400
Wednesday 2023-01-04 To Tuesday 2023-01-10;18400; to 18800;1,000000;2;From_18400 To_18800
