Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2023-02-03 To Thursday 2023-02-09;13600; to 14200;1,000000;2;From_13600 To_14200
Friday 2023-01-27 To Thursday 2023-02-02;14200; to 14800;4,000000;7;From_14200 To_14800
Friday 2023-02-03 To Thursday 2023-02-09;14200; to 14800;7,000000;11;From_14200 To_14800
Friday 2023-01-27 To Thursday 2023-02-02;14800; to 15400;9,000000;15;From_14800 To_15400
Friday 2023-02-03 To Thursday 2023-02-09;14800; to 15400;24,000000;40;From_14800 To_15400
Friday 2023-01-27 To Thursday 2023-02-02;15400; to 16000;8,000000;14;From_15400 To_16000
Friday 2023-02-03 To Thursday 2023-02-09;15400; to 16000;28,000000;47;From_15400 To_16000
Friday 2023-01-27 To Thursday 2023-02-02;16000; to 16600;4,000000;6;From_16000 To_16600
Friday 2023-02-03 To Thursday 2023-02-09;16000; to 16600;15,000000;26;From_16000 To_16600
Friday 2023-02-03 To Thursday 2023-02-09;16600; to 17200;7,000000;12;From_16600 To_17200
Friday 2023-01-27 To Thursday 2023-02-02;16600; to 17200;16,000000;27;From_16600 To_17200
Friday 2023-02-03 To Thursday 2023-02-09;17200; to 17800;4,000000;6;From_17200 To_17800
Friday 2023-01-27 To Thursday 2023-02-02;17200; to 17800;24,000000;40;From_17200 To_17800
Friday 2023-01-27 To Thursday 2023-02-02;17800; to 18400;24,000000;41;From_17800 To_18400
Friday 2023-01-27 To Thursday 2023-02-02;18400; to 19000;8,000000;13;From_18400 To_19000
Friday 2023-01-27 To Thursday 2023-02-02;19000; to 19600;3,000000;5;From_19000 To_19600
