Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2022-11-07 To Sunday 2022-11-13;13000; to 13500;1,000000;1;From_13000 To_13500
Monday 2022-10-31 To Sunday 2022-11-06;13000; to 13500;6,000000;10;From_13000 To_13500
Monday 2022-11-07 To Sunday 2022-11-13;13500; to 14000;3,000000;5;From_13500 To_14000
Monday 2022-10-31 To Sunday 2022-11-06;13500; to 14000;12,000000;20;From_13500 To_14000
Monday 2022-11-07 To Sunday 2022-11-13;14000; to 14500;7,000000;12;From_14000 To_14500
Monday 2022-10-31 To Sunday 2022-11-06;14000; to 14500;33,000000;55;From_14000 To_14500
Monday 2022-10-31 To Sunday 2022-11-06;14500; to 15000;24,000000;40;From_14500 To_15000
Monday 2022-11-07 To Sunday 2022-11-13;14500; to 15000;27,000000;45;From_14500 To_15000
Monday 2022-10-31 To Sunday 2022-11-06;15000; to 15500;14,000000;24;From_15000 To_15500
Monday 2022-11-07 To Sunday 2022-11-13;15000; to 15500;27,000000;45;From_15000 To_15500
Monday 2022-10-31 To Sunday 2022-11-06;15500; to 16000;11,000000;18;From_15500 To_16000
Monday 2022-11-07 To Sunday 2022-11-13;15500; to 16000;17,000000;28;From_15500 To_16000
Monday 2022-10-31 To Sunday 2022-11-06;16000; to 16500;1,000000;1;From_16000 To_16500
Monday 2022-11-07 To Sunday 2022-11-13;16000; to 16500;11,000000;18;From_16000 To_16500
Monday 2022-11-07 To Sunday 2022-11-13;16500; to 17000;8,000000;14;From_16500 To_17000
