DateTimeKey,Date Time Hour Beginning,Hourly UCLF+OCLF
2023-04-14 23:00:00,2023-04-14 23:00:00,16890,357
2023-04-15 00:00:00,2023-04-15 00:00:00,17123,740000000002
2023-04-15 01:00:00,2023-04-15 01:00:00,17445,100999999999
2023-04-15 02:00:00,2023-04-15 02:00:00,17511,414000000001
2023-04-15 03:00:00,2023-04-15 03:00:00,17488,134999999998
2023-04-15 04:00:00,2023-04-15 04:00:00,18227,221000000001
2023-04-15 05:00:00,2023-04-15 05:00:00,18169,026999999998
2023-04-15 06:00:00,2023-04-15 06:00:00,18003,638999999999
2023-04-15 07:00:00,2023-04-15 07:00:00,18008,467000000001
2023-04-15 08:00:00,2023-04-15 08:00:00,17875,027999999998
2023-04-15 09:00:00,2023-04-15 09:00:00,17944,957999999999
2023-04-15 10:00:00,2023-04-15 10:00:00,18009,786
2023-04-15 11:00:00,2023-04-15 11:00:00,17962,476999999999
2023-04-15 12:00:00,2023-04-15 12:00:00,18001,09
2023-04-15 13:00:00,2023-04-15 13:00:00,18348,042000000001
2023-04-15 14:00:00,2023-04-15 14:00:00,18450,118999999999
2023-04-15 15:00:00,2023-04-15 15:00:00,18415,429
2023-04-15 16:00:00,2023-04-15 16:00:00,18264,898000000001
2023-04-15 17:00:00,2023-04-15 17:00:00,18127,740000000002
2023-04-15 18:00:00,2023-04-15 18:00:00,17773,800999999999
2023-04-15 19:00:00,2023-04-15 19:00:00,17750,327000000001
2023-04-15 20:00:00,2023-04-15 20:00:00,17665,069
2023-04-15 21:00:00,2023-04-15 21:00:00,17727,455000000002
2023-04-15 22:00:00,2023-04-15 22:00:00,17961,927
2023-04-15 23:00:00,2023-04-15 23:00:00,18092,919000000002
2023-04-16 00:00:00,2023-04-16 00:00:00,18367,473999999998
2023-04-16 01:00:00,2023-04-16 01:00:00,18093,488000000001
2023-04-16 02:00:00,2023-04-16 02:00:00,18027,799999999999
2023-04-16 03:00:00,2023-04-16 03:00:00,18127,420999999998
2023-04-16 04:00:00,2023-04-16 04:00:00,18112,767
2023-04-16 05:00:00,2023-04-16 05:00:00,18192,546999999999
2023-04-16 06:00:00,2023-04-16 06:00:00,18173,017
2023-04-16 07:00:00,2023-04-16 07:00:00,18117,935000000001
2023-04-16 08:00:00,2023-04-16 08:00:00,18260,456999999999
2023-04-16 09:00:00,2023-04-16 09:00:00,18550,362000000001
2023-04-16 10:00:00,2023-04-16 10:00:00,18921,415000000001
2023-04-16 11:00:00,2023-04-16 11:00:00,18277,848999999998
2023-04-16 12:00:00,2023-04-16 12:00:00,17928,098000000002
2023-04-16 13:00:00,2023-04-16 13:00:00,17621,491000000002
2023-04-16 14:00:00,2023-04-16 14:00:00,17759,27
2023-04-16 15:00:00,2023-04-16 15:00:00,18149,065999999999
2023-04-16 16:00:00,2023-04-16 16:00:00,17915,746999999999
2023-04-16 17:00:00,2023-04-16 17:00:00,18188,736000000001
2023-04-16 18:00:00,2023-04-16 18:00:00,17973,597000000002
2023-04-16 19:00:00,2023-04-16 19:00:00,17822,244999999999
2023-04-16 20:00:00,2023-04-16 20:00:00,17544,473999999998
2023-04-16 21:00:00,2023-04-16 21:00:00,17068,716
2023-04-16 22:00:00,2023-04-16 22:00:00,17084,971000000001
2023-04-16 23:00:00,2023-04-16 23:00:00,17154,350999999999
2023-04-17 00:00:00,2023-04-17 00:00:00,16928,704000000002
2023-04-17 01:00:00,2023-04-17 01:00:00,16924,82
2023-04-17 02:00:00,2023-04-17 02:00:00,17162,223000000002
2023-04-17 03:00:00,2023-04-17 03:00:00,16737,389999999999
2023-04-17 04:00:00,2023-04-17 04:00:00,16519,516
2023-04-17 05:00:00,2023-04-17 05:00:00,16529,009999999998
2023-04-17 06:00:00,2023-04-17 06:00:00,16941,391
2023-04-17 07:00:00,2023-04-17 07:00:00,16951,234
2023-04-17 08:00:00,2023-04-17 08:00:00,16948,342000000001
2023-04-17 09:00:00,2023-04-17 09:00:00,16991,184000000001
2023-04-17 10:00:00,2023-04-17 10:00:00,16287,175999999999
2023-04-17 11:00:00,2023-04-17 11:00:00,16362,231
2023-04-17 12:00:00,2023-04-17 12:00:00,16694,268
2023-04-17 13:00:00,2023-04-17 13:00:00,16151,625
2023-04-17 14:00:00,2023-04-17 14:00:00,15912,627
2023-04-17 15:00:00,2023-04-17 15:00:00,15837,195
2023-04-17 16:00:00,2023-04-17 16:00:00,15693,194
2023-04-17 17:00:00,2023-04-17 17:00:00,15980,788
2023-04-17 18:00:00,2023-04-17 18:00:00,16147,621999999999
2023-04-17 19:00:00,2023-04-17 19:00:00,16155,378000000001
2023-04-17 20:00:00,2023-04-17 20:00:00,15980,895
2023-04-17 21:00:00,2023-04-17 21:00:00,15856,619000000001
2023-04-17 22:00:00,2023-04-17 22:00:00,15833,632
2023-04-17 23:00:00,2023-04-17 23:00:00,15680,58
2023-04-18 00:00:00,2023-04-18 00:00:00,16047,415999999999
2023-04-18 01:00:00,2023-04-18 01:00:00,16322,904
2023-04-18 02:00:00,2023-04-18 02:00:00,16260,35
2023-04-18 03:00:00,2023-04-18 03:00:00,16127,727000000001
2023-04-18 04:00:00,2023-04-18 04:00:00,15961,440000000001
2023-04-18 05:00:00,2023-04-18 05:00:00,15631,852999999999
2023-04-18 06:00:00,2023-04-18 06:00:00,15117,59
2023-04-18 07:00:00,2023-04-18 07:00:00,15077,918
2023-04-18 08:00:00,2023-04-18 08:00:00,15169,367
2023-04-18 09:00:00,2023-04-18 09:00:00,15143,217000000001
2023-04-18 10:00:00,2023-04-18 10:00:00,15226,946
2023-04-18 11:00:00,2023-04-18 11:00:00,15390,668
2023-04-18 12:00:00,2023-04-18 12:00:00,15550,894
2023-04-18 13:00:00,2023-04-18 13:00:00,15484,539000000001
2023-04-18 14:00:00,2023-04-18 14:00:00,15430,007
2023-04-18 15:00:00,2023-04-18 15:00:00,15437,793
2023-04-18 16:00:00,2023-04-18 16:00:00,15229,906999999999
2023-04-18 17:00:00,2023-04-18 17:00:00,15180,982
2023-04-18 18:00:00,2023-04-18 18:00:00,15074,564
2023-04-18 19:00:00,2023-04-18 19:00:00,15024,839
2023-04-18 20:00:00,2023-04-18 20:00:00,15013,911
2023-04-18 21:00:00,2023-04-18 21:00:00,14838,359
2023-04-18 22:00:00,2023-04-18 22:00:00,14902,004000000001
2023-04-18 23:00:00,2023-04-18 23:00:00,15061,396000000001
2023-04-19 00:00:00,2023-04-19 00:00:00,15074,343000000001
2023-04-19 01:00:00,2023-04-19 01:00:00,15164,245999999999
2023-04-19 02:00:00,2023-04-19 02:00:00,15361,195
2023-04-19 03:00:00,2023-04-19 03:00:00,15449,544
2023-04-19 04:00:00,2023-04-19 04:00:00,15583,019
2023-04-19 05:00:00,2023-04-19 05:00:00,15346,293
2023-04-19 06:00:00,2023-04-19 06:00:00,15244,331
2023-04-19 07:00:00,2023-04-19 07:00:00,15291,361999999999
2023-04-19 08:00:00,2023-04-19 08:00:00,15238,762000000001
2023-04-19 09:00:00,2023-04-19 09:00:00,15384,856
2023-04-19 10:00:00,2023-04-19 10:00:00,15741,923000000001
2023-04-19 11:00:00,2023-04-19 11:00:00,15950,251
2023-04-19 12:00:00,2023-04-19 12:00:00,15435,683000000001
2023-04-19 13:00:00,2023-04-19 13:00:00,15975,498
2023-04-19 14:00:00,2023-04-19 14:00:00,15882,833000000001
2023-04-19 15:00:00,2023-04-19 15:00:00,15796,718999999999
2023-04-19 16:00:00,2023-04-19 16:00:00,15114,005999999999
2023-04-19 17:00:00,2023-04-19 17:00:00,15247,791999999999
2023-04-19 18:00:00,2023-04-19 18:00:00,15824,602000000001
2023-04-19 19:00:00,2023-04-19 19:00:00,15957,428
2023-04-19 20:00:00,2023-04-19 20:00:00,15950,812
2023-04-19 21:00:00,2023-04-19 21:00:00,16130,605
2023-04-19 22:00:00,2023-04-19 22:00:00,16390,913
2023-04-19 23:00:00,2023-04-19 23:00:00,16667,310000000001
2023-04-20 00:00:00,2023-04-20 00:00:00,16652,724999999999
2023-04-20 01:00:00,2023-04-20 01:00:00,16156,624
2023-04-20 02:00:00,2023-04-20 02:00:00,16175,832
2023-04-20 03:00:00,2023-04-20 03:00:00,16079,883
2023-04-20 04:00:00,2023-04-20 04:00:00,16735,518
2023-04-20 05:00:00,2023-04-20 05:00:00,16578,638999999999
2023-04-20 06:00:00,2023-04-20 06:00:00,16482,010999999999
2023-04-20 07:00:00,2023-04-20 07:00:00,16446,482
2023-04-20 08:00:00,2023-04-20 08:00:00,16451,339
2023-04-20 09:00:00,2023-04-20 09:00:00,16566,425999999999
2023-04-20 10:00:00,2023-04-20 10:00:00,16748,311000000002
2023-04-20 11:00:00,2023-04-20 11:00:00,17286,923999999999
2023-04-20 12:00:00,2023-04-20 12:00:00,16872,136999999999
2023-04-20 13:00:00,2023-04-20 13:00:00,17256,075000000001
2023-04-20 14:00:00,2023-04-20 14:00:00,17403,837
2023-04-20 15:00:00,2023-04-20 15:00:00,17625,458999999999
2023-04-20 16:00:00,2023-04-20 16:00:00,17016,933000000001
2023-04-20 17:00:00,2023-04-20 17:00:00,16511,652999999998
2023-04-20 18:00:00,2023-04-20 18:00:00,16641,716
2023-04-20 19:00:00,2023-04-20 19:00:00,16749,272000000001
2023-04-20 20:00:00,2023-04-20 20:00:00,16855,023000000001
2023-04-20 21:00:00,2023-04-20 21:00:00,16585,990000000002
2023-04-20 22:00:00,2023-04-20 22:00:00,16966,013999999999
2023-04-20 23:00:00,2023-04-20 23:00:00,17486,459999999999
2023-04-21 00:00:00,2023-04-21 00:00:00,17809,274000000001
2023-04-21 01:00:00,2023-04-21 01:00:00,17816,165000000001
2023-04-21 02:00:00,2023-04-21 02:00:00,17691,196
2023-04-21 03:00:00,2023-04-21 03:00:00,17309,473000000002
2023-04-21 04:00:00,2023-04-21 04:00:00,17118,338
2023-04-21 05:00:00,2023-04-21 05:00:00,16334,790999999999
2023-04-21 06:00:00,2023-04-21 06:00:00,16275,696
2023-04-21 07:00:00,2023-04-21 07:00:00,16227,675999999999
2023-04-21 08:00:00,2023-04-21 08:00:00,16227,572
2023-04-21 09:00:00,2023-04-21 09:00:00,16537,725999999999
2023-04-21 10:00:00,2023-04-21 10:00:00,16560,526999999998
2023-04-21 11:00:00,2023-04-21 11:00:00,16248,790999999999
2023-04-21 12:00:00,2023-04-21 12:00:00,15831,045
2023-04-21 13:00:00,2023-04-21 13:00:00,15808,623
2023-04-21 14:00:00,2023-04-21 14:00:00,15865,976000000001
2023-04-21 15:00:00,2023-04-21 15:00:00,16016,395
2023-04-21 16:00:00,2023-04-21 16:00:00,16153,16
2023-04-21 17:00:00,2023-04-21 17:00:00,15431,853999999999
2023-04-21 18:00:00,2023-04-21 18:00:00,15567,466
2023-04-21 19:00:00,2023-04-21 19:00:00,15654,277
2023-04-21 20:00:00,2023-04-21 20:00:00,15720,918
2023-04-21 21:00:00,2023-04-21 21:00:00,15639,602000000001
2023-04-21 22:00:00,2023-04-21 22:00:00,15840,018
2023-04-21 23:00:00,2023-04-21 23:00:00,15981,781000000001
2023-04-22 00:00:00,2023-04-22 00:00:00,15976,651
2023-04-22 01:00:00,2023-04-22 01:00:00,15844,384
2023-04-22 02:00:00,2023-04-22 02:00:00,16438,524000000001
2023-04-22 03:00:00,2023-04-22 03:00:00,16466,719000000001
2023-04-22 04:00:00,2023-04-22 04:00:00,16325,411
2023-04-22 05:00:00,2023-04-22 05:00:00,16345,254000000001
2023-04-22 06:00:00,2023-04-22 06:00:00,16142,704
2023-04-22 07:00:00,2023-04-22 07:00:00,15703,127
