Cal Year;Indicator;CSP;PV;Wind(Eskom+IPP);Total RE
2023-24;Total Energy;;;;
2022-23;Total Energy;1504120;4889950;10320487;16970188
 All Time Maximum;Annual Energy;1670540;5094406;10320487;16970188
