Cal Year,Indicator,CSP,PV,Wind(Eskom+IPP),Total RE
2023-24,Total Energy,139055,443212,792357,1403237
2022-23,Total Energy,1514428,4914301,10378323,17060749
 All Time Maximum,Annual Energy,1670540,5094406,10378323,17060749
