Cal Year;Indicator;CSP;PV;Wind(Eskom+IPP);Total RE
2021-22;Total Energy;1583761;5094406;8528919;15333840
2022-23;Total Energy;1234799;4137295;8785583;14373219
 All Time Maximum;Annual Energy;1670540;5094406;8785583;15333840
