Cal Year;Indicator;CSP;PV;Wind(Eskom+IPP);Total RE
2021-22;Total Energy;1583761;5094406;8528919;15333840
2022-23;Total Energy;1487765;4820489;10189653;16750936
 All Time Maximum;Annual Energy;1670540;5094406;10189653;16750936
