Cal Year;Indicator;CSP;PV;Wind(Eskom+IPP);Total RE
2021-22;Total Energy;1583761;5094406;8528919;15333840
2022-23;Total Energy;1412938;4598241;9639427;15893701
 All Time Maximum;Annual Energy;1670540;5094406;9639427;15893701
