report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2023-03-22,2023-03-27,13,30192,27975,42311,25111,6880,15000,-2864,-4364,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-04-03,14,30054,28526,42606,25406,6585,15000,-3120,-4620,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-04-10,15,30863,29216,43246,26046,5945,15000,-3170,-4670,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-04-17,16,31228,29581,43981,26781,5210,15000,-2800,-4300,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-04-24,17,31577,29931,44516,27316,4675,15000,-2615,-4115,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-05-01,18,31824,30642,45056,27856,4135,15000,-2786,-4286,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-05-08,19,32574,31392,45812,28612,3379,15000,-2780,-4280,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-05-15,20,33257,32075,46584,29384,2607,15000,-2691,-4191,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-05-22,21,33213,32031,47177,29977,2014,15000,-2054,-3554,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-05-29,22,33681,32499,47377,30177,1814,15000,-2322,-3822,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-06-05,23,33170,31890,47229,30029,1962,15000,-1861,-3361,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-06-12,24,33184,31903,47377,30177,1814,15000,-1726,-3226,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-06-19,25,33465,32184,47377,30177,1814,15000,-2007,-3507,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-06-26,26,33853,32572,47100,29900,2091,15000,-2672,-4172,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-07-03,27,33675,32184,46503,29303,2688,15000,-2881,-4381,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-07-10,28,33441,31950,46753,29553,2438,15000,-2397,-3897,Weekly_System_Status_Report_2023_w12.txt
2023-03-22,2023-07-17,29,33806,32315,46563,29363,2628,15000,-2952,-4452,Weekly_System_Status_Report_2023_w12.txt
