report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2022-10-19,2022-10-24,43,30991,28894,42516,27316,7509,13000,-1578,-3078,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2022-10-31,44,30653,28254,43881,28681,6144,13000,427,-1073,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2022-11-07,45,30180,27998,42922,27722,7103,13000,-275,-1775,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2022-11-14,46,29985,27802,44148,28948,5878,13000,1145,-355,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2022-11-21,47,29830,27647,42090,26890,7935,13000,-757,-2257,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2022-11-28,48,29613,27426,41615,26415,8410,13000,-1012,-2512,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2022-12-05,49,29647,27461,41275,26075,8750,13000,-1386,-2886,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2022-12-12,50,29699,27512,41528,26328,8497,13000,-1184,-2684,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2022-12-19,51,28906,26719,40603,25403,9422,13000,-1316,-2816,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2022-12-26,52,26459,24273,39346,24146,10679,13000,-127,-1627,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-01-02,1,28228,26193,41191,25991,8834,13000,-202,-1702,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-01-09,2,29334,27299,42915,27715,7110,13000,416,-1084,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-01-16,3,29908,27874,42323,27123,7702,13000,-751,-2251,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-01-23,4,30174,28139,42493,27293,7532,13000,-846,-2346,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-01-30,5,30383,28349,42761,27561,7264,13000,-788,-2288,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-02-06,6,30997,29208,42604,27404,7421,13000,-1804,-3304,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-02-13,7,30835,29045,42404,27204,7621,13000,-1841,-3341,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-02-20,8,30909,29119,42646,27446,7379,13000,-1673,-3173,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-02-27,9,30721,29153,43291,28091,6734,13000,-1062,-2562,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-03-06,10,31153,29585,43775,28575,6250,13000,-1010,-2510,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-03-13,11,30805,29237,43348,28148,6677,13000,-1089,-2589,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-03-20,12,31014,29366,43348,28148,6677,13000,-1218,-2718,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-03-27,13,30853,29206,43733,28533,6292,13000,-673,-2173,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-04-03,14,32219,30573,44653,29453,5372,13000,-1120,-2620,Weekly_System_Status_Report_2022_w42.txt
2022-10-19,2023-04-10,15,32493,30846,45346,30146,4679,13000,-700,-2200,Weekly_System_Status_Report_2022_w42.txt
