report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2022-11-30,2022-12-05,49,28906,26954,42707,27507,6484,13000,553,-947,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2022-12-12,50,28563,26993,41905,26705,7286,13000,-288,-1788,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2022-12-19,51,27951,25764,41910,26710,7281,13000,946,-554,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2022-12-26,52,25805,23618,41104,25904,8087,13000,2286,786,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-01-02,1,27829,25795,41838,26638,7353,13000,843,-657,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-01-09,2,28986,26952,43063,27863,6128,13000,911,-589,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-01-16,3,29614,27580,42999,27799,6192,13000,219,-1281,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-01-23,4,29866,27832,42999,27799,6192,13000,-33,-1533,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-01-30,5,30059,28270,43402,28202,5789,13000,-68,-1568,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-02-06,6,30360,28571,43392,28192,5799,13000,-379,-1879,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-02-13,7,30472,28683,43692,28492,5499,13000,-191,-1691,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-02-20,8,30221,28432,43599,28399,5592,13000,-33,-1533,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-02-27,9,30253,28464,44523,29323,4668,13000,859,-641,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-03-06,10,31153,29585,44523,29323,4668,13000,-262,-1762,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-03-13,11,30805,29237,44523,29323,4668,13000,86,-1414,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-03-20,12,31014,29366,44523,29323,4668,13000,-43,-1543,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-03-27,13,30853,29206,44523,29323,4668,13000,117,-1383,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-04-03,14,32219,30573,44523,29323,4668,13000,-1250,-2750,Weekly_System_Status_Report_2022_w48.txt
2022-11-30,2023-04-10,15,32493,30846,44823,29623,4368,13000,-1223,-2723,Weekly_System_Status_Report_2022_w48.txt
