report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2022-11-16,2022-11-21,47,30066,28309,43614,28414,5577,13000,105,-1395,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2022-11-28,48,29462,27295,43455,28255,5736,13000,960,-540,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2022-12-05,49,29380,27194,41795,26595,7396,13000,-599,-2099,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2022-12-12,50,29178,26991,41199,25999,7992,13000,-992,-2492,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2022-12-19,51,28505,26318,40235,25035,8956,13000,-1283,-2783,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2022-12-26,52,26034,23847,38385,23185,10806,13000,-662,-2162,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-01-02,1,27906,25872,40099,24899,9092,13000,-973,-2473,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-01-09,2,28978,26944,41831,26631,7360,13000,-313,-1813,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-01-16,3,29727,27693,41814,26614,7377,13000,-1079,-2579,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-01-23,4,29904,27869,42234,27034,6957,13000,-835,-2335,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-01-30,5,30110,28320,42044,26844,7147,13000,-1476,-2976,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-02-06,6,30258,28469,42667,27467,6524,13000,-1002,-2502,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-02-13,7,30413,28624,42290,27090,6901,13000,-1534,-3034,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-02-20,8,30909,29119,42532,27332,6659,13000,-1787,-3287,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-02-27,9,30721,29153,43177,27977,6014,13000,-1176,-2676,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-03-06,10,31153,29585,43661,28461,5530,13000,-1124,-2624,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-03-13,11,30805,29237,43234,28034,5957,13000,-1203,-2703,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-03-20,12,31014,29366,43234,28034,5957,13000,-1332,-2832,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-03-27,13,30853,29206,43619,28419,5572,13000,-787,-2287,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-04-03,14,32219,30573,44349,29149,4842,13000,-1424,-2924,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-04-10,15,32493,30846,45042,29842,4149,13000,-1004,-2504,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-04-17,16,32984,31338,45627,30427,3564,13000,-911,-2411,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-04-24,17,33668,32021,46222,31022,2969,13000,-999,-2499,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-05-01,18,33601,32419,46797,31597,2394,13000,-822,-2322,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-05-08,19,34531,33349,47627,32427,1564,13000,-922,-2422,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-05-15,20,34704,33522,47817,32617,1374,13000,-905,-2405,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-05-22,21,35031,33849,48017,32817,1174,13000,-1032,-2532,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-05-29,22,35849,34667,47960,32760,1231,13000,-1907,-3407,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-06-05,23,35053,33773,47612,32412,1579,13000,-1361,-2861,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-06-12,24,35055,33774,47760,32560,1431,13000,-1214,-2714,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-06-19,25,34886,33605,47760,32560,1431,13000,-1045,-2545,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-06-26,26,35391,34110,48217,33017,974,13000,-1093,-2593,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-07-03,27,35153,33662,47090,31890,2101,13000,-1772,-3272,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-07-10,28,35127,33636,47090,31890,2101,13000,-1746,-3246,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-07-17,29,35242,33751,47090,31890,2101,13000,-1861,-3361,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-07-24,30,35288,33797,47147,31947,2044,13000,-1850,-3350,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-07-31,31,34476,32985,47204,32004,1987,13000,-981,-2481,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-08-07,32,34154,32460,46707,31507,2484,13000,-953,-2453,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-08-14,33,33807,32114,45936,30736,3255,13000,-1378,-2878,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-08-21,34,33730,32037,45788,30588,3403,13000,-1449,-2949,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-08-28,35,33641,31961,45580,30380,3611,13000,-1581,-3081,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-09-04,36,33478,31791,45141,29941,4050,13000,-1850,-3350,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-09-11,37,33126,31440,46526,31326,2665,13000,-114,-1614,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-09-18,38,32252,30565,44806,29606,4385,13000,-959,-2459,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-09-25,39,32248,30561,43825,28625,5366,13000,-1936,-3436,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-10-02,40,32438,30461,44190,28990,5001,13000,-1471,-2971,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-10-09,41,31837,29871,43705,28505,5486,13000,-1366,-2866,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-10-16,42,31305,29362,43430,28230,5761,13000,-1132,-2632,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-10-23,43,30945,29062,42650,27450,6541,13000,-1612,-3112,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-10-30,44,31035,29125,43278,28078,5913,13000,-1047,-2547,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-11-06,45,31002,28819,42947,27747,6244,13000,-1072,-2572,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-11-13,46,30872,28689,42445,27245,6746,13000,-1444,-2944,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-11-20,47,30689,28506,42502,27302,6689,13000,-1204,-2704,Weekly_System_Status_Report_2022_w46.txt
2022-11-16,2023-11-27,48,30642,28459,42565,27365,6626,13000,-1094,-2594,Weekly_System_Status_Report_2022_w46.txt
