report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2022-09-21,2022-09-26,39,31089,29560,43857,28657,6168,13000,-903,-2403,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-10-03,40,31045,28986,43486,28286,6539,13000,-700,-2200,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-10-10,41,31113,29008,43227,28027,6798,13000,-981,-2481,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-10-17,42,30999,29019,44077,28877,5948,13000,-142,-1642,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-10-24,43,30980,29016,42957,27757,7068,13000,-1259,-2759,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-10-31,44,30495,28442,42360,27160,7665,13000,-1282,-2782,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-11-07,45,30908,28726,41845,26645,8180,13000,-2080,-3580,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-11-14,46,30713,28530,43226,28026,6799,13000,-504,-2004,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-11-21,47,30447,28264,42124,26924,7901,13000,-1340,-2840,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-11-28,48,30228,28045,42113,26913,7912,13000,-1132,-2632,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-12-05,49,30252,28066,42174,26974,7851,13000,-1092,-2592,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-12-12,50,29987,27800,42191,26991,7834,13000,-809,-2309,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-12-19,51,28906,26719,40626,25426,9399,13000,-1293,-2793,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2022-12-26,52,26867,24680,39986,24786,10039,13000,106,-1394,Weekly_System_Status_Report_2022_w38.txt
2022-09-21,2023-01-02,1,28588,26066,41191,25991,8834,13000,-75,-1575,Weekly_System_Status_Report_2022_w38.txt
