report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2022-08-31,2022-09-05,36,31202,29407,44379,29179,5646,13000,-228,-2228,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-09-12,37,30734,28667,43084,27884,6941,13000,-783,-2783,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-09-19,38,31227,29140,43287,28087,6738,13000,-1053,-3053,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-09-26,39,31491,29403,43714,28514,6311,13000,-889,-2889,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-10-03,40,31580,29475,43221,28021,6804,13000,-1454,-3454,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-10-10,41,31429,29325,43514,28314,6511,13000,-1011,-3011,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-10-17,42,31228,29242,43523,28323,6502,13000,-920,-2920,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-10-24,43,31066,29102,43677,28477,6348,13000,-625,-2625,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-10-31,44,30831,28867,42438,27238,7587,13000,-1629,-3629,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-11-07,45,31255,29072,42755,27555,7270,13000,-1517,-3517,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-11-14,46,31172,28989,43416,28216,6609,13000,-773,-2773,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-11-21,47,30803,28621,42314,27114,7711,13000,-1507,-3507,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-11-28,48,30591,28409,42666,27466,7359,13000,-943,-2943,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-12-05,49,31023,28837,42899,27699,7126,13000,-1138,-3138,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-12-12,50,30633,28446,42191,26991,7834,13000,-1455,-3455,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-12-19,51,29318,27132,41266,26066,8759,13000,-1066,-3066,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2022-12-26,52,26867,24680,40176,24976,9849,13000,296,-1704,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-01-02,1,28588,26066,41381,26181,8644,13000,115,-1885,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-01-09,2,29704,27670,42053,26853,7972,13000,-817,-2817,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-01-16,3,30496,28461,41793,26593,8232,13000,-1868,-3868,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-01-23,4,30174,28139,41963,26763,8062,13000,-1376,-3376,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-01-30,5,30383,28349,42180,26980,7845,13000,-1369,-3369,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-02-06,6,30997,29208,43324,28124,6701,13000,-1084,-3084,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-02-13,7,30835,29045,43124,27924,6901,13000,-1121,-3121,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-02-20,8,30909,29119,42646,27446,7379,13000,-1673,-3673,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-02-27,9,30721,29153,43291,28091,6734,13000,-1062,-3062,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-03-06,10,31153,29585,43775,28575,6250,13000,-1010,-3010,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-03-13,11,30805,29237,43923,28723,6102,13000,-514,-2514,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-03-20,12,31014,29366,43941,28741,6084,13000,-625,-2625,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-03-27,13,30853,29206,43751,28551,6274,13000,-655,-2655,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-04-03,14,32219,30573,45246,30046,4779,13000,-527,-2527,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-04-10,15,32493,30846,45931,30731,4094,13000,-115,-2115,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-04-17,16,32984,31338,45931,30731,4094,13000,-607,-2607,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-04-24,17,33668,32021,46526,31326,3499,13000,-695,-2695,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-05-01,18,33601,32419,47101,31901,2924,13000,-518,-2518,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-05-08,19,34531,33349,47741,32541,2284,13000,-808,-2808,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-05-15,20,34704,33522,47931,32731,2094,13000,-791,-2791,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-05-22,21,35031,33849,48131,32931,1894,13000,-918,-2918,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-05-29,22,35849,34667,48074,32874,1951,13000,-1793,-3793,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-06-05,23,35053,33773,47726,32526,2299,13000,-1247,-3247,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-06-12,24,35055,33774,47874,32674,2151,13000,-1100,-3100,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-06-19,25,34886,33605,47874,32674,2151,13000,-931,-2931,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-06-26,26,35391,34110,48328,33128,1697,13000,-982,-2982,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-07-03,27,35153,33662,47201,32001,2824,13000,-1661,-3661,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-07-10,28,35127,33636,47201,32001,2824,13000,-1635,-3635,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-07-17,29,35242,33751,47201,32001,2824,13000,-1750,-3750,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-07-24,30,35288,33797,47258,32058,2767,13000,-1739,-3739,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-07-31,31,34476,32985,47315,32115,2710,13000,-870,-2870,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-08-07,32,34154,32460,46818,31618,3207,13000,-842,-2842,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-08-14,33,33807,32114,46237,31037,3788,13000,-1077,-3077,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-08-21,34,33730,32037,46089,30889,3936,13000,-1148,-3148,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-08-28,35,33641,31961,45884,30684,4141,13000,-1277,-3277,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-09-04,36,33879,31791,46095,30895,3930,13000,-896,-2896,Weekly_System_Status_Report_2022_w35.txt
2022-08-31,2023-09-11,37,33528,31440,46830,31630,3195,13000,190,-1810,Weekly_System_Status_Report_2022_w35.txt
