report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2023-02-15,2023-02-20,8,30213,28941,44462,29262,4729,13000,321,-1179,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-02-27,9,30407,28598,43987,28787,5204,13000,189,-1311,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-03-06,10,30409,28841,44367,29167,4824,13000,326,-1174,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-03-13,11,30229,28661,43981,28781,5210,13000,120,-1380,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-03-20,12,30381,28734,43981,28781,5210,13000,47,-1453,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-03-27,13,30158,28511,43981,28781,5210,13000,270,-1230,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-04-03,14,29943,28296,42683,27483,6508,13000,-813,-2313,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-04-10,15,30638,28991,43403,28203,5788,13000,-788,-2288,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-04-17,16,31435,29788,44138,28938,5053,13000,-850,-2350,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-04-24,17,31577,29931,44673,29473,4518,13000,-458,-1958,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-05-01,18,31734,30552,46403,31203,2788,13000,651,-849,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-05-08,19,32297,31115,46584,31384,2607,13000,269,-1231,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-05-15,20,32761,31579,46584,31384,2607,13000,-195,-1695,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-05-22,21,33266,32084,47177,31977,2014,13000,-107,-1607,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-05-29,22,33838,32657,47377,32177,1814,13000,-480,-1980,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-06-05,23,33444,32163,47229,32029,1962,13000,-134,-1634,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-06-12,24,33454,32173,47377,32177,1814,13000,4,-1496,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-06-19,25,33441,32160,47377,32177,1814,13000,17,-1483,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-06-26,26,33853,32572,47100,31900,2091,13000,-672,-2172,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-07-03,27,33675,32184,47777,32577,1414,13000,393,-1107,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-07-10,28,33441,31950,48027,32827,1164,13000,877,-623,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-07-17,29,33806,32315,47780,32580,1411,13000,265,-1235,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-07-24,30,33869,32378,47432,32232,1759,13000,-146,-1646,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-07-31,31,33172,31681,46857,31657,2334,13000,-24,-1524,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-08-07,32,32921,31227,46217,31017,2974,13000,-210,-1710,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-08-14,33,32522,30828,45801,30601,3390,13000,-227,-1727,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-08-21,34,32669,30975,46039,30839,3152,13000,-136,-1636,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-08-28,35,32154,30475,45794,30594,3397,13000,119,-1381,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-09-04,36,32329,30642,45144,29944,4047,13000,-698,-2198,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-09-11,37,32319,30633,45966,30766,3225,13000,133,-1367,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-09-18,38,31676,29989,45773,30573,3418,13000,584,-916,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-09-25,39,31623,29936,44925,29725,4266,13000,-211,-1711,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-10-02,40,31635,29659,44545,29345,4646,13000,-314,-1814,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-10-09,41,31372,29395,44635,29435,4556,13000,40,-1460,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-10-16,42,31286,29309,44351,29151,4840,13000,-158,-1658,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-10-23,43,30991,29015,43538,28338,5653,13000,-677,-2177,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-10-30,44,30837,28860,43708,28508,5483,13000,-352,-1852,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-11-06,45,30480,28381,43100,27900,6091,13000,-481,-1981,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-11-13,46,30439,28371,42359,27159,6832,13000,-1212,-2712,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-11-20,47,30288,28220,42756,27556,6435,13000,-664,-2164,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-11-27,48,30059,27991,42355,27155,6836,13000,-836,-2336,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-12-04,49,30063,27880,43132,27932,6059,13000,52,-1448,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-12-11,50,30109,27927,41939,26739,7252,13000,-1188,-2688,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-12-18,51,28935,26752,40390,25190,8801,13000,-1562,-3062,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2023-12-25,52,26312,24130,40190,24990,9001,13000,860,-640,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2024-01-01,1,27954,25810,41203,26003,7988,13000,193,-1307,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2024-01-08,2,29548,27404,41303,26103,7888,13000,-1301,-2801,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2024-01-15,3,30300,28156,42362,27162,6829,13000,-994,-2494,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2024-01-22,4,30273,28129,43230,28030,5961,13000,-99,-1599,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2024-01-29,5,30490,28346,43512,28312,5679,13000,-34,-1534,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2024-02-05,6,30730,28940,43121,27921,6070,13000,-1019,-2519,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2024-02-12,7,30854,29065,43268,28068,5923,13000,-997,-2497,Weekly_System_Status_Report_2023_w7.txt
2023-02-15,2024-02-19,8,30988,29199,43763,28563,5428,13000,-636,-2136,Weekly_System_Status_Report_2023_w7.txt
