report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2022-10-05,2022-10-10,41,30859,28875,42744,27544,7281,13000,-1331,-2831,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-10-17,42,30305,28798,42943,27743,7082,13000,-1056,-2556,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-10-24,43,30704,28718,43476,28276,6549,13000,-442,-1942,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-10-31,44,30325,28360,43010,27810,7015,13000,-551,-2051,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-11-07,45,30426,28244,42430,27230,7595,13000,-1013,-2513,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-11-14,46,30332,28149,42935,27735,7091,13000,-415,-1915,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-11-21,47,30189,28006,42173,26973,7852,13000,-1033,-2533,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-11-28,48,29823,27640,41291,26091,8734,13000,-1549,-3049,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-12-05,49,29714,27527,41659,26459,8366,13000,-1068,-2568,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-12-12,50,29699,27512,41528,26328,8497,13000,-1184,-2684,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-12-19,51,28906,26719,41323,26123,8702,13000,-596,-2096,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2022-12-26,52,26459,24273,39346,24146,10679,13000,-127,-1627,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2023-01-02,1,28106,26072,41191,25991,8834,13000,-81,-1581,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2023-01-09,2,29704,27670,41863,26663,8162,13000,-1007,-2507,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2023-01-16,3,30496,28461,41603,26403,8422,13000,-2058,-3558,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2023-01-23,4,30174,28139,41963,26763,8062,13000,-1376,-2876,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2023-01-30,5,30383,28349,41460,26260,8565,13000,-2089,-3589,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2023-02-06,6,30997,29208,42604,27404,7421,13000,-1804,-3304,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2023-02-13,7,30835,29045,42404,27204,7621,13000,-1841,-3341,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2023-02-20,8,30909,29119,42646,27446,7379,13000,-1673,-3173,Weekly_System_Status_Report_2022_w40.txt
2022-10-05,2023-02-27,9,30721,29153,43291,28091,6734,13000,-1062,-2562,Weekly_System_Status_Report_2022_w40.txt
