report_generated_date,forecast_date,week_number,rsa_contracted_forecast,residual_forecast,available_dispatchable_capacity,available_capacity_less_or_ua,planned_maintenance,unplanned_outage_assumption,planned_risk_level,likely_risk_scenario,report_file_name
2022-08-03,2022-08-08,32,32469,31541,44608,30408,5417,12000,-1133,-3133,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-08-15,33,32236,30813,44825,30625,5200,12000,-188,-2188,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-08-22,34,31782,30217,44916,30716,5109,12000,499,-1501,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-08-29,35,32514,30427,44346,30146,5679,12000,-281,-2281,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-09-05,36,32469,30382,44364,29164,5661,13000,-1218,-3218,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-09-12,37,32016,29929,44364,29164,5661,13000,-765,-2765,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-09-19,38,31704,29616,43681,28481,6344,13000,-1135,-3135,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-09-26,39,31491,29403,43681,28481,6344,13000,-922,-2922,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-10-03,40,31580,29475,43751,28551,6274,13000,-924,-2924,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-10-10,41,31500,29486,44279,29079,5746,13000,-407,-2407,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-10-17,42,31511,29546,44188,28988,5837,13000,-559,-2559,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-10-24,43,31222,29258,43819,28619,6206,13000,-639,-2639,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-10-31,44,31472,29346,43821,28621,6204,13000,-725,-2725,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-11-07,45,31872,29689,43682,28482,6343,13000,-1207,-3207,Weekly_System_Status_Report_2022_w31.txt
2022-08-03,2022-11-14,46,31613,29430,44199,28999,5826,13000,-431,-2431,Weekly_System_Status_Report_2022_w31.txt
