Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Thursday 2023-02-09 To Wednesday 2023-02-15;14800; to 15600;15,000000;25;From_14800 To_15600
Thursday 2023-02-16 To Wednesday 2023-02-22;15600; to 16400;4,000000;6;From_15600 To_16400
Thursday 2023-02-09 To Wednesday 2023-02-15;15600; to 16400;35,000000;58;From_15600 To_16400
Thursday 2023-02-16 To Wednesday 2023-02-22;16400; to 17200;14,000000;23;From_16400 To_17200
Thursday 2023-02-09 To Wednesday 2023-02-15;16400; to 17200;32,000000;53;From_16400 To_17200
Thursday 2023-02-16 To Wednesday 2023-02-22;17200; to 18000;8,000000;14;From_17200 To_18000
Thursday 2023-02-09 To Wednesday 2023-02-15;17200; to 18000;17,000000;28;From_17200 To_18000
Thursday 2023-02-09 To Wednesday 2023-02-15;18000; to 18800;2,000000;4;From_18000 To_18800
Thursday 2023-02-16 To Wednesday 2023-02-22;18000; to 18800;4,000000;6;From_18000 To_18800
Thursday 2023-02-16 To Wednesday 2023-02-22;18800; to 19600;17,000000;28;From_18800 To_19600
Thursday 2023-02-16 To Wednesday 2023-02-22;19600; to 20400;15,000000;25;From_19600 To_20400
Thursday 2023-02-16 To Wednesday 2023-02-22;20400; to 21200;21,000000;35;From_20400 To_21200
Thursday 2023-02-16 To Wednesday 2023-02-22;21200; to 22000;4,000000;7;From_21200 To_22000
