Week_min_DateKey,Min of UCLF+OCLF,Average of UCLF+OCLF,Max of UCLF+OCLF
2023-04-03,13808.739,15190.69451190476,16673.5
2023-04-10,13871.477999999999,16473.052684523809,18346.415000000001
2023-04-17,14535.105,15631.445071428559,17237.263999999999
2023-04-24,14834.272000000001,16653.015220238107,17773.234
2023-05-01,16680.812999999998,17037.235791666662,17584.127
