Week_min_DateKey;Min of UCLF+OCLF;Average of UCLF+OCLF;Max of UCLF+OCLF
2022-04-04;11469,880999999999;12936,411517857141;14736,718999999999
2022-04-11;13267,468999999999;15025,259297619052;17017,164000000001
2022-04-18;14682,169;15713,947934523807;17266,553
2022-04-25;13358,325999999999;14398,264089285709;15573,154
2022-05-02;13324,459999999999;14767,714291666671;15790,546
2022-05-09;14469,813;16150,875958333336;18613,779999999999
2022-05-16;14019,548000000001;16242,344702380955;17731,069
2022-05-23;13269,248;15072,819053571424;16700,402999999998
2022-05-30;13104,849;14597,938589285699;16543,952000000001
2022-06-06;13807,061;14875,883244047611;16206,374
2022-06-13;13564,116;14634,68122023809;16265,177
2022-06-20;12586,847;15355,066196428565;17797,68
2022-06-27;14097,065000000001;17146,370773809518;18736,629000000001
2022-07-04;14352,963;16565,611035714282;19492,499
2022-07-11;13209,703;14754,024488095238;16663,078000000001
2022-07-18;12728,51;15079,228999999994;16734,204000000002
2022-07-25;12466,608;14767,703571428578;16950,473000000002
2022-08-01;12204,047;14879,398833333335;16917,651999999998
2022-08-08;11534,001;12957,339238095235;15383,874
2022-08-15;12915,745999999999;14188,514767857143;15292,413
2022-08-22;10833,618;13386,714660714289;15240,876
2022-08-29;11144,439;14220,039910714289;16220,434999999999
2022-09-05;13429,972;15522,250678571425;16954,896000000001
2022-09-12;14461,933000000001;16024,231107142856;17861,498
2022-09-19;15919,989;17297,121601190473;19213,454000000002
2022-09-26;14404,373;15860,415964285718;17422,294000000002
2022-10-03;13273,403;14484,581732142862;16029,682000000001
2022-10-10;12468,6;14861,619964285715;16801,103999999999
2022-10-17;13991,02;15628,14322916667;17151,623
