Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2022-12-06 To Monday 2022-12-12;14600; to 15200;10,000000;16;From_14600 To_15200
Tuesday 2022-12-06 To Monday 2022-12-12;15200; to 15800;22,000000;37;From_15200 To_15800
Tuesday 2022-11-29 To Monday 2022-12-05;15800; to 16400;10,000000;17;From_15800 To_16400
Tuesday 2022-12-06 To Monday 2022-12-12;15800; to 16400;17,000000;28;From_15800 To_16400
Tuesday 2022-12-06 To Monday 2022-12-12;16400; to 17000;5,000000;8;From_16400 To_17000
Tuesday 2022-11-29 To Monday 2022-12-05;16400; to 17000;30,000000;51;From_16400 To_17000
Tuesday 2022-12-06 To Monday 2022-12-12;17000; to 17600;6,000000;10;From_17000 To_17600
Tuesday 2022-11-29 To Monday 2022-12-05;17000; to 17600;35,000000;59;From_17000 To_17600
Tuesday 2022-12-06 To Monday 2022-12-12;17600; to 18200;16,000000;27;From_17600 To_18200
Tuesday 2022-11-29 To Monday 2022-12-05;17600; to 18200;20,000000;33;From_17600 To_18200
Tuesday 2022-11-29 To Monday 2022-12-05;18200; to 18800;4,000000;6;From_18200 To_18800
Tuesday 2022-12-06 To Monday 2022-12-12;18200; to 18800;14,000000;24;From_18200 To_18800
Tuesday 2022-11-29 To Monday 2022-12-05;18800; to 19400;1,000000;2;From_18800 To_19400
Tuesday 2022-12-06 To Monday 2022-12-12;18800; to 19400;6,000000;10;From_18800 To_19400
Tuesday 2022-12-06 To Monday 2022-12-12;19400; to 20000;5,000000;8;From_19400 To_20000
