Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Sunday 2023-01-08 To Saturday 2023-01-14;14500; to 15000;1,000000;2;From_14500 To_15000
Sunday 2023-01-01 To Saturday 2023-01-07;14500; to 15000;3,000000;5;From_14500 To_15000
Sunday 2023-01-08 To Saturday 2023-01-14;15000; to 15500;11,000000;19;From_15000 To_15500
Sunday 2023-01-01 To Saturday 2023-01-07;15000; to 15500;13,000000;21;From_15000 To_15500
Sunday 2023-01-01 To Saturday 2023-01-07;15500; to 16000;5,000000;8;From_15500 To_16000
Sunday 2023-01-08 To Saturday 2023-01-14;15500; to 16000;13,000000;22;From_15500 To_16000
Sunday 2023-01-01 To Saturday 2023-01-07;16000; to 16500;9,000000;15;From_16000 To_16500
Sunday 2023-01-08 To Saturday 2023-01-14;16000; to 16500;22,000000;37;From_16000 To_16500
Sunday 2023-01-01 To Saturday 2023-01-07;16500; to 17000;18,000000;31;From_16500 To_17000
Sunday 2023-01-08 To Saturday 2023-01-14;16500; to 17000;24,000000;41;From_16500 To_17000
Sunday 2023-01-08 To Saturday 2023-01-14;17000; to 17500;14,000000;24;From_17000 To_17500
Sunday 2023-01-01 To Saturday 2023-01-07;17000; to 17500;23,000000;38;From_17000 To_17500
Sunday 2023-01-08 To Saturday 2023-01-14;17500; to 18000;12,000000;20;From_17500 To_18000
Sunday 2023-01-01 To Saturday 2023-01-07;17500; to 18000;19,000000;32;From_17500 To_18000
Sunday 2023-01-08 To Saturday 2023-01-14;18000; to 18500;2,000000;3;From_18000 To_18500
Sunday 2023-01-01 To Saturday 2023-01-07;18000; to 18500;11,000000;18;From_18000 To_18500
