Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Wednesday 2022-11-09 To Tuesday 2022-11-15;13000; to 13500;2,000000;3;From_13000 To_13500
Wednesday 2022-11-02 To Tuesday 2022-11-08;13000; to 13500;6,000000;10;From_13000 To_13500
Wednesday 2022-11-09 To Tuesday 2022-11-15;13500; to 14000;6,000000;10;From_13500 To_14000
Wednesday 2022-11-02 To Tuesday 2022-11-08;13500; to 14000;13,000000;22;From_13500 To_14000
Wednesday 2022-11-09 To Tuesday 2022-11-15;14000; to 14500;10,000000;17;From_14000 To_14500
Wednesday 2022-11-02 To Tuesday 2022-11-08;14000; to 14500;28,000000;47;From_14000 To_14500
Wednesday 2022-11-09 To Tuesday 2022-11-15;14500; to 15000;13,000000;21;From_14500 To_15000
Wednesday 2022-11-02 To Tuesday 2022-11-08;14500; to 15000;27,000000;46;From_14500 To_15000
Wednesday 2022-11-02 To Tuesday 2022-11-08;15000; to 15500;15,000000;26;From_15000 To_15500
Wednesday 2022-11-09 To Tuesday 2022-11-15;15000; to 15500;18,000000;31;From_15000 To_15500
Wednesday 2022-11-02 To Tuesday 2022-11-08;15500; to 16000;7,000000;11;From_15500 To_16000
Wednesday 2022-11-09 To Tuesday 2022-11-15;15500; to 16000;22,000000;37;From_15500 To_16000
Wednesday 2022-11-02 To Tuesday 2022-11-08;16000; to 16500;4,000000;6;From_16000 To_16500
Wednesday 2022-11-09 To Tuesday 2022-11-15;16000; to 16500;17,000000;29;From_16000 To_16500
Wednesday 2022-11-09 To Tuesday 2022-11-15;16500; to 17000;8,000000;14;From_16500 To_17000
Wednesday 2022-11-09 To Tuesday 2022-11-15;17000; to 17500;4,000000;6;From_17000 To_17500
