Date_Time_Hour_Beginning;Thermal_Gen_Excl_Pumping_and_SCO;Eskom_OCGT_SCO_Pumping;Eskom_Gas_SCO_Pumping;Hydro_Water_SCO_Pumping;Pumped_Water_SCO_Pumping;Thermal_Generation;Nuclear_Generation;International_Imports;Eskom_OCGT_Generation;Eskom_Gas_Generation;Dispatchable_IPP_OCGT;Hydro_Water_Generation;Pumped_Water_Generation;IOS_Excl_ILS_and_MLR;ILS_Usage;Manual_Load_Reduction_MLR;Wind;PV;CSP;Other_RE
2023-01-06 00:00:00;13487,534;-3,4660000000000002;-2;0;-1741;15234;923;1274;375;0;413,32299999999998;606;0;0;0;2376,558;2139,3690000000001;0;39,073999999999998;36,020000000000003
2023-01-06 01:00:00;13536,666999999999;-3,3330000000000002;-2;0;-1637;15179;923;1284;156;0;309,98000000000002;605;0;0;0;2490,087;1964,248;0;39,024999999999999;35,872999999999998
2023-01-06 02:00:00;13804,800999999999;-3,1989999999999998;-2;0;-1342;15152;923;1274;0;0;103,376;608;0;0;0;2560,1489999999999;1803,9110000000001;0;36,540999999999997;33,360999999999997
2023-01-06 03:00:00;13978,710999999999;-3,5990000000000002;-2;0;-1215;15199,309999999999;923;1313;0;0;0;603;0;0;0;2733,7179999999998;1774,864;0;0,23599999999999999;34,265999999999998
2023-01-06 04:00:00;14461,666999999999;-3,3330000000000002;-2;0;-1092;15559;923;1314;0;0;0;605;0;0;0;2785,5940000000001;1751,1759999999999;0;0;39,005000000000003
2023-01-06 05:00:00;15513,534;-3,4660000000000002;-2;0;-226;15745;923;1351;0;0;0;604;142;0;0;2417,1849999999999;1748,373;6,1609999999999996;72,278999999999996;40,003
2023-01-06 06:00:00;15732,666999999999;-3,3330000000000002;-2;0;-23;15761;923;1391;0;0;0;604;524;0;0;2514,5909999999999;1744,0930000000001;278,17899999999997;230,238;40,901000000000003
2023-01-06 07:00:00;15631,800999999999;-3,1989999999999998;-2;0;-19;15656;923;1401;0;0;98,283000000000001;603;935;0;0;2838,5610000000001;1823,502;901,20799999999997;339,495;39,051000000000002
2023-01-06 08:00:00;15906,666999999999;-3,3330000000000002;-2;0;-21;15933;923;1414;97;0;471,76100000000002;603;947;0;0;3060,473;1852,6010000000001;1354,2619999999999;488,20600000000002;40,289999999999999
2023-01-06 09:00:00;15629,666999999999;-3,3330000000000002;-2;0;-22;15657;923;1387;501;0;477,30000000000001;604;1069;0;0;3300;1693,932;1606,9749999999999;502,24799999999999;35,749000000000002
